Gene,Antigen,OneFieldMol
A*,0,
A*,1,1
A*,2,2
A*,3,3
A*,9,23
A*,9,24
A*,10,25
A*,10,26
A*,10,34
A*,10,66
A*,11,11
A*,19,29
A*,19,30
A*,19,31
A*,19,32
A*,19,33
A*,19,74
A*,23,23
A*,24,24
A*,25,25
A*,26,26
A*,28,68
A*,28,69
A*,29,29
A*,30,30
A*,31,31
A*,32,32
A*,33,33
A*,34,34
A*,36,36
A*,43,43
A*,66,66
A*,68,68
A*,69,69
A*,74,74
A*,80,80
B*,0,
B*,5,51
B*,5,52
B*,7,7
B*,8,8
B*,12,44
B*,12,45
B*,13,13
B*,14,14
B*,15,15
B*,16,38
B*,16,39
B*,17,57
B*,17,58
B*,18,18
B*,21,49
B*,21,50
B*,21,51
B*,22,54
B*,22,55
B*,22,56
B*,27,27
B*,35,35
B*,37,37
B*,38,38
B*,39,39
B*,40,40
B*,41,41
B*,42,42
B*,44,44
B*,45,45
B*,46,46
B*,47,47
B*,48,48
B*,49,49
B*,50,50
B*,51,51
B*,52,52
B*,53,53
B*,54,54
B*,55,55
B*,56,56
B*,57,57
B*,58,58
B*,60,40:01:00
B*,61,40:02:00
B*,62,15
B*,63,15
B*,64,14
B*,65,14
B*,67,67
B*,70,15:01
B*,70,15:03
B*,71,15:01
B*,72,15:03
B*,73,73
B*,75,15
B*,76,15:12
B*,77,15:13
B*,78,78
B*,81,81
B*,82,82
C*,0,
C*,1,1
C*,2,2
C*,3,3
C*,4,4
C*,5,5
C*,6,6
C*,7,7
C*,8,8
C*,9,3
C*,10,3
C*,11,
C*,12,12
C*,14,14
C*,15,15
C*,16,16
C*,17,17
C*,18,18
C*,35,
C*,44,
DQB1*,0,
DQB1*,1,5
DQB1*,1,6
DQB1*,2,2
DQB1*,3,3
DQB1*,4,4
DQB1*,5,5
DQB1*,6,6
DQB1*,7,3:01
DQB1*,8,3:02
DQB1*,9,3:03
DRB1*,0,
DRB1*,1,1
DRB1*,2,15
DRB1*,2,16
DRB1*,3,17
DRB1*,3,18
DRB1*,4,4
DRB1*,5,11
DRB1*,5,12
DRB1*,6,13
DRB1*,6,14
DRB1*,7,7
DRB1*,8,8
DRB1*,9,9
DRB1*,10,10
DRB1*,11,11
DRB1*,12,12
DRB1*,13,13
DRB1*,14,14
DRB1*,15,15
DRB1*,16,16
DRB1*,17,3
DRB1*,18,3
DRB1*,95,
DRB1*,103,1:03
